380	0.000039
385	0.000121
390	0.000402
395	0.001210
400	0.003484
405	0.009290
410	0.020000
415	0.038000
420	0.063270
425	0.095400
430	0.139020
435	0.199800
440	0.283500
445	0.383000
450	0.455000
455	0.503000
460	0.549500
465	0.599000
470	0.650000
475	0.702600
480	0.757000
485	0.816300
490	0.870000
495	0.915400
500	0.954000
505	0.980300
510	0.994950
515	0.999300
520	0.994950
525	0.980300
530	0.954000
535	0.915400
540	0.870000
545	0.816300
550	0.757000
555	0.694900
560	0.631000
565	0.566800
570	0.503000
575	0.441200
580	0.381000
585	0.328800
590	0.278000
595	0.225750
600	0.175000
605	0.138200
610	0.107000
615	0.081600
620	0.061000
625	0.044580
630	0.032000
635	0.023200
640	0.017000
645	0.011920
650	0.008210
655	0.005723
660	0.004102
665	0.002929
670	0.002091
675	0.001497
680	0.001047
685	0.000720
690	0.000503
695	0.000332
700	0.000228
705	0.000148
710	0.000097
715	0.000064
720	0.000042
725	0.000028
730	0.000018
735	0.000012
740	0.000008
745	0.000005
750	0.000003
755	0.000002
760	0.000002
765	0.000001
770	0.000001
775	0.000000
780	0.000000
