angle,relative_intensity
-1.570796 0.002336
-1.558116 0.002336
-1.545435 0.014019
-1.532755 0.025701
-1.520074 0.037383
-1.507394 0.053738
-1.491543 0.067757
-1.475693 0.086449
-1.459842 0.100467
-1.443991 0.116822
-1.424971 0.135514
-1.409120 0.149533
-1.393269 0.168224
-1.374249 0.184579
-1.361568 0.198598
-1.348888 0.210280
-1.329867 0.228972
-1.317186 0.240654
-1.301336 0.257009
-1.282315 0.273364
-1.266464 0.292056
-1.250614 0.306075
-1.228423 0.324766
-1.215742 0.341121
-1.196722 0.357477
-1.184041 0.369159
-1.165020 0.387850
-1.146000 0.404206
-1.130149 0.418224
-1.107958 0.436916
-1.088938 0.453271
-1.076257 0.467290
-1.057236 0.488318
-1.038216 0.502336
-1.019195 0.521028
-0.990664 0.542056
-0.965303 0.563084
-0.936772 0.586449
-0.911411 0.607477
-0.886050 0.628505
-0.863859 0.647196
-0.838498 0.661215
-0.816307 0.679907
-0.790946 0.696262
-0.771925 0.712617
-0.746564 0.731308
-0.718033 0.747664
-0.695842 0.766355
-0.667311 0.782710
-0.635610 0.801402
-0.610249 0.817757
-0.584888 0.831776
-0.556357 0.845794
-0.530996 0.859813
-0.505635 0.873832
-0.477104 0.885514
-0.445402 0.899533
-0.416871 0.913551
-0.394680 0.922897
-0.372490 0.929907
-0.340788 0.939252
-0.315427 0.948598
-0.290066 0.957944
-0.252025 0.969626
-0.210813 0.978972
-0.169602 0.988318
-0.134730 0.990654
-0.093519 0.995327
-0.049137 1.000000
-0.001585 0.997664
0.055477 0.997664
0.099859 0.997664
0.147411 0.988318
0.194963 0.983645
0.245685 0.969626
0.286896 0.960280
0.331278 0.946262
0.375660 0.932243
0.416871 0.915888
0.464423 0.897196
0.499294 0.878505
0.543676 0.859813
0.588058 0.836449
0.626099 0.813084
0.676821 0.785047
0.718033 0.757009
0.768755 0.721963
0.816307 0.686916
0.854348 0.661215
0.886050 0.635514
0.924091 0.605140
0.955792 0.579439
0.990664 0.551402
1.025535 0.518692
1.060406 0.488318
1.088938 0.464953
1.123809 0.436916
1.152340 0.406542
1.184041 0.376168
1.228423 0.338785
1.266464 0.301402
1.301336 0.264019
1.333037 0.235981
1.364738 0.203271
1.399610 0.168224
1.428141 0.140187
1.463012 0.107477
1.497883 0.070093
1.523244 0.042056
1.558116 0.014019
1.570796 0.014019
